2,4.85708174923244e+24,1.43139373845529e+24,0,0
4,3.24836241669336e+24,1.67638516643546e+24,0,0
6,2.60669117387947e+24,1.79368829307821e+24,0,0
8,2.28003306118807e+24,1.84783938560049e+24,0,4.50091761273654e-38
10,2.09092769798782e+24,1.87382612244109e+24,0,8.61099665780977e-35
12,1.96765576096486e+24,1.88802425490618e+24,3.9119724239351e-41,1.36627971531471e-32
14,1.87951273054797e+24,1.89568944168968e+24,2.37944432153191e-38,5.27670629930883e-31
16,1.81429192025025e+24,1.89882252370604e+24,2.93390956799227e-36,8.28784833912099e-30
18,1.75512126322778e+24,1.90104588367655e+24,1.28763014851793e-34,7.21229555224448e-29
20,1.70726007904606e+24,1.90211788278648e+24,2.67156870719852e-33,4.01040327274117e-28
22,1.66522669925435e+24,1.9017839211231e+24,3.22777827402256e-32,1.63676222922595e-27
24,1.63357469602424e+24,1.901149965262e+24,2.4427950666764e-31,5.04384052155292e-27
26,1.59972386760792e+24,1.90040447255141e+24,1.44364221632907e-30,1.36061447365284e-26
28,1.56581555416724e+24,1.89879358145884e+24,6.71586134921233e-30,3.22562552061835e-26
30,1.55023628183066e+24,1.89729694226564e+24,2.36349608651629e-29,6.23278156485055e-26
32,1.52634131302022e+24,1.89480779820246e+24,7.61417473591344e-29,1.18846647620186e-25
34,1.51236507445025e+24,1.89234532232403e+24,2.00575245650635e-28,1.96152980504632e-25
36,1.48817814051922e+24,1.89278938656489e+24,5.15378259948911e-28,3.27428558968951e-25
38,1.47061003085966e+24,1.89207350032583e+24,1.15779991203655e-27,4.99650865390553e-25
40,1.45613360119771e+24,1.89181061399007e+24,2.33007101775453e-27,7.06996701038644e-25
42,1.43715901193932e+24,1.89333412455492e+24,4.70139890608961e-27,1.03139905712242e-24
44,1.42204642923765e+24,1.89556676437106e+24,8.63333202235263e-27,1.40008117039579e-24
46,1.40839389938884e+24,1.89764241350821e+24,1.47759163856054e-26,1.80164207567649e-24
